Trade Time,Ticker,Pre-Calculated P/E Ratio,Manually Caculated P/E Ratio,Forward P/E Ratio,Book to Market
2020/09/29 15:02:42,AAN,NA,-13.897164824603557,11.828220858895707,5.913537886164542e-9
2020/09/29 15:02:19,ABG,11.679315,12.075887392900857,7.937248592115849,2.0084814333038126e-8
2020/09/29 15:02:02,ADNT,NA,-3.12340735347652,7.8,8.273786924878221e-9
2020/09/29 15:02:41,AEO,NA,-13.309417040358744,13.49090909090909,2.5733143071176818e-9
2020/09/29 15:01:37,AGS,NA,-2.292513058618688,-3.798076923076923,1.5680448520163303e-8
2020/09/29 15:02:53,ANF,NA,-6.201680672268908,18.68354430379747,1.4663661306585229e-8
2020/09/29 14:59:42,APEI,33.356644,33.18181818181818,20.335714285714285,4.685587204598556e-8
2020/09/29 15:01:56,ATGE,NA,-15.988593155893536,9.075539568345324,1.979615273936941e-8
2020/09/29 15:02:50,AXL,NA,-0.4888694893059799,13.658536585365853,2.7402316122231795e-9
2020/09/29 15:02:48,BBBY,NA,-3.3680398370303304,-1488,6.405842527994061e-9
2020/09/29 15:02:42,BBX,NA,-7.267206477732794,Inf,9.957083898225603e-8
2020/09/29 14:58:39,BH,NA,-0.3885767790262172,-12.366442953020133,2.8991863675592856e-6
NA,BHA,NA,NA,NA,NA
2020/09/29 15:02:52,BIG,2.6081266,2.6048541041723476,8.320557491289199,1.8025113236789156e-8
2020/09/29 15:02:39,BJRI,NA,-40.898282694848085,41.83783783783784,2.114937404359404e-8
2020/09/29 15:00:12,BKE,10.372829,10.617977528089888,10.395,8.475586865778562e-9
2020/09/29 15:02:00,BOOT,20.795368,21.220077220077222,16.75609756097561,1.438573204693584e-8
2020/09/29 14:47:00,BXG,16.67774,17.209302325581394,9.418181818181816,1.4639795619988611e-8
2020/09/29 15:02:53,BYD,NA,-18.124267291910904,30.92,2.6033910616636937e-9
2020/09/29 14:59:45,BZH,12.657005,13.053140096618359,8.44375,4.691523784482663e-8
2020/09/29 15:02:51,CAKE,NA,-8.670573719925972,22.853658536585364,6.300258827426852e-9
2020/09/29 15:02:36,CAL,NA,-1.0672853828306264,5.962962962962963,1.7788635334735014e-8
2020/09/29 15:00:42,CATO,NA,-5.9985152190051965,6.2153846153846155,6.17303920001578e-8
2020/09/29 14:59:47,CBRL,NA,-87.87656135194709,14.838709677419354,6.494032919873161e-9
2020/09/29 15:01:26,CCS,9.036986,9.034731619305369,8.06036217303823,2.427830931586034e-8
2020/09/29 15:01:05,CHS,NA,-0.489815712900097,-10.1,2.0875593200721494e-8
2020/09/29 15:01:57,CHUY,NA,-30.21180030257186,23.22093023255814,3.050992543242384e-8
2020/09/29 14:51:17,CLAR,32.807426,33.01624129930394,20.926470588235293,1.4186301691974324e-8
2020/09/29 15:01:08,CLCT,43.168064,44.18487394957983,NA,5.70309951302314e-9
2020/09/29 15:01:38,CNTY,NA,-2.134238310708899,10.884615384615385,2.016257934431828e-8
2020/09/29 15:00:52,CONN,NA,-16.25942684766214,10.266666666666666,5.748148116002317e-8
2020/09/29 15:01:28,CORE,22.140137,22.17821782178218,15.326315789473686,1.0101209280370717e-8
2020/09/29 15:02:32,CPS,NA,-0.7255789193505456,-4.543333333333334,1.5849481409757404e-7
2020/09/29 14:54:21,CRMT,10.683409,10.91704147926037,8.243396226415094,8.382652491394603e-8
2020/09/29 15:01:25,CSPR,NA,-0.7545714915179556,NA,-9.779870218609657e-8
2020/09/29 14:55:32,CSV,76.05536,76.08996539792388,10.32394366197183,3.2322214173703666e-8
2020/09/29 15:02:51,CTB,24.992,25.008000000000003,10.742268041237113,1.491700142989414e-8
2020/09/29 14:59:35,CTRN,37.010464,37.309417040358746,11.885714285714286,5.93385258341347e-8
2020/09/29 15:02:54,CZR,NA,-18.088875077688005,-51.973214285714285,1.8467533578696527e-9
2020/09/29 15:02:51,DAN,22.419819,22.306306306306304,6.916201117318436,6.329395618244016e-9
2020/09/29 15:02:53,DBI,NA,-1.4208074534161492,7.418918918918919,1.443778312228237e-8
2020/09/29 15:02:34,DDS,NA,-7.681302417365565,-173,8.221527782190116e-8
2020/09/29 15:01:35,DENN,11.058632,11.639522258414766,21.877551020408166,-6.0165563795717195e-9
2020/09/29 15:01:51,DIN,NA,-15.877926421404682,11.674180327868852,-2.444680910969691e-8
2020/09/29 14:59:38,DLTH,26.111113,27.17948717948718,18.171428571428574,1.2892162116031014e-8
2020/09/29 15:02:41,EAT,70.06349,72.11111111111111,13.206395348837209,-5.352474270640597e-9
2020/09/29 14:51:48,ELA,NA,NA,NA,NA
2020/09/29 15:02:16,ELY,NA,-12.87183002056203,20.41304347826087,3.587023311911462e-9
2020/09/29 14:34:34,ESCA,16.89654,16.958105646630237,15.647058823529413,3.5668686028672415e-8
2020/09/29 15:02:24,ETH,40.205883,40.470588235294116,14.48421052631579,3.8236270261982135e-8
2020/09/29 15:02:24,EVRI,NA,-8.963039014373717,218.25,-3.105639163126238e-10
2020/09/29 15:02:52,EXPR,NA,-0.10596753660089116,-5.549166666666667,5.475721946273819e-8
2020/09/29 15:01:02,EYE,NA,-105.05494505494507,49.02564102564103,3.2699769873567807e-9
2020/09/29 15:02:38,FNKO,NA,-19.003322259136212,11.673469387755102,2.154209579872381e-8
2020/09/29 15:02:06,FOSL,NA,-2.230603448275862,-5.447368421052632,2.544863417621987e-8
2020/09/29 15:02:48,FRG,NA,NA,NA,NA
2020/09/29 14:57:51,FRGI,NA,-4.35067774376913,71.07142857142856,2.175860806988638e-8
2020/09/29 15:02:14,GAN,NA,NA,NA,NA
