ticker,Earnings/Share,P. Close,old_PE_Ratio,calculated_PE_Ratio
ODP,-5.167,22.9,NA,-4.431972130830269
OSTK,-1.026,109.52,NA,-106.74463937621832
OSW,-3.635,6.37,NA,-1.752407152682256
OXM,-1.196,47.63,NA,-39.824414715719065
PENN,-7.363,55.18,NA,-7.494227896237946
PLAY,0.434,14.1,34.723503,32.48847926267281
PLCE,-6.308,18.905,NA,-2.9969879518072293
PRTS,-0.713,15.04,NA,-21.09396914446003
PZZA,0.383,97.49,254.93474,254.54308093994777
QUOT,-0.624,9.31,NA,-14.919871794871796
RCII,2.852,31.91,11.230715,11.188639551192146
RCKY,1.935,23.33,12.025841,12.056847545219638
RGR,2.637,74.92,27.648844,28.411073189230187
RGS,-2.83,8.32,NA,-2.939929328621908
RICK,-0.307,18.01,NA,-58.66449511400652
RRGB,-18.319,9.43,NA,-0.5147660898520662
RRR,-3.425,17.42,NA,-5.0861313868613145
SAH,-2.172,41.61,NA,-19.15745856353591
SBH,0.959,11.82,12.168926,12.32533889468196
SCVL,0.889,27.36,32.058495,30.776152980877388
SEAS,-1.461,19.65,NA,-13.449691991786446
SFIX,-0.152,23.98,NA,-157.76315789473685
SGC,1.668,23.32,14.322542,13.980815347721823
SGMS,-4.182,20.82,NA,-4.9784791965566715
SHOO,0.445,20.15,46.80899,45.28089887640449
SIG,-2.213,17,NA,-7.681879801174875
SMP,2.018,45.65,22.789892,22.621407333994057
SNBR,2.716,45.73,17.09131,16.837260677466862
SRI,-0.271,20.7,NA,-76.38376383763837
SWBI,NA,19.875,NA,NA
TACO,-6.068,8.58,NA,-1.4139749505603165
TAST,-0.632,6.6,NA,-10.443037974683543
TCS,0.039,3.94,101.53846,101.02564102564102
TEN,-17.66,8.46,NA,-0.4790486976217441
TH,-0.008,1.44,NA,-180
TLYS,0.152,6.1,39.013157,40.13157894736842
TMHC,1.336,25.03,18.188623,18.73502994011976
TPH,1.98,17.86,8.767677,9.02020202020202
TUP,-0.161,13.83,NA,-85.90062111801242
UEIC,2.104,42.82,20.413498,20.35171102661597
UFI,-3.1,12.56,NA,-4.051612903225807
URBN,-0.296,25.25,NA,-85.30405405405406
UTI,0.062,7.22,115.96774,116.45161290322581
VAC,-2.66,89.73,NA,-33.733082706766915
VOXX,-1.378,6.78,NA,-4.920174165457185
VRA,-0.109,4.73,NA,-43.39449541284404
VSTO,-1.691,20.32,NA,-12.016558249556475
VVNT,NA,17.63,NA,NA
WEYS,0.781,18.1,23.27785,23.175416133162614
WINA,7.566,158.8,20.726938,20.988633359767384
WKHS,-1.968,17.43,NA,-8.856707317073171
WW,1.208,23.25,20.521524,19.246688741721854
WWW,0.702,24.61,35.954414,35.05698005698006
ZUMZ,1.772,26.22,15.079007,14.796839729119638
