tradeTime,old_PE_Ratio,calc_PE,calc_PE_Forward
2020/08/31 16:00:01,NA,-13.67611725132148,12.67706013363029
2020/08/31 16:00:02,12.948592,13.219094247246023,8.766233766233766
2020/08/31 16:00:02,NA,-3.228977065890062,8.251162790697673
2020/08/31 16:00:02,NA,-19.46372239747634,12.721649484536083
2020/08/31 16:00:02,NA,-2.4782356355194426,-4.186274509803921
2020/08/31 16:00:01,NA,-5.1722689075630255,17.58571428571429
2020/08/31 16:00:01,36.643356,36.45687645687646,22.342857142857145
2020/08/31 16:00:02,NA,-21.172370088719894,10.572784810126581
2020/08/31 16:00:02,NA,-0.6948930597992143,20.94736842105263
2020/08/31 16:00:01,NA,-2.7354006337709373,-50.35416666666667
2020/08/31 16:00:02,NA,-7.940283400809716,112.07142857142856
2020/08/31 16:00:02,NA,-0.4426898808921281,-14.088590604026844
NA,NA,NA,NA
2020/08/31 16:00:02,2.5715847,2.7248431960730843,9.992
2020/08/31 16:00:01,NA,-42.60237780713342,43.58108108108108
2020/08/31 16:00:02,9.570991,9.69356486210419,9.49
2020/08/31 16:00:02,21.799229,21.405405405405407,16.8
2020/08/31 16:00:02,18.47176,19.368770764119603,10.6
2020/08/31 16:00:02,NA,-16.277842907385697,24.794642857142854
2020/08/31 16:00:02,11.826087,12.202898550724639,9.94488188976378
2020/08/31 16:00:01,NA,-9.497223935842072,25.237704918032787
2020/08/31 16:00:02,NA,-1.036878674505612,5.27891156462585
2020/08/31 16:00:02,NA,-5.939123979213067,6.153846153846153
2020/08/31 16:00:02,429.93573,445.91639871382637,29.759656652360515
2020/08/31 16:00:01,8.04691,8.473161930536762,7.559356136820926
2020/08/31 16:00:02,NA,-0.6741028128031038,-27.799999999999997
2020/08/31 16:00:01,NA,-34.266263237518906,26.33720930232558
2020/08/31 16:00:01,29.211138,29.67517401392111,19.378787878787875
2020/08/31 16:00:02,37.386555,38.79831932773109,NA
2020/08/31 16:00:02,NA,-2.368024132730015,15.7
2020/08/31 16:00:01,NA,-19.04191616766467,11.88785046728972
2020/08/31 16:00:01,25.45316,25.50647372429551,17.626315789473686
2020/08/31 16:00:02,NA,-0.9826989619377163,-6.153333333333333
2020/08/31 16:00:02,12.556222,12.7023988005997,9.591509433962266
2020/08/31 16:00:02,NA,-1.034368803701256,NA
2020/08/31 16:00:02,76.60899,77.40484429065745,10.502347417840376
2020/08/31 16:00:02,27.656,27.724,11.90893470790378
2020/08/31 16:00:02,28.89387,28.355754857997006,9.033333333333333
2020/08/31 16:00:01,NA,-15.24238657551274,-59.096385542168676
2020/08/31 16:00:02,25.135134,25.42342342342342,8.062857142857142
2020/08/31 16:00:02,NA,-3.5229966808914175,7.65979381443299
2020/08/31 16:00:02,NA,-7.527200791295748,-169.11111111111111
2020/08/31 16:00:01,12.442997,12.87730727470141,24.20408163265306
2020/08/31 16:00:02,NA,-17.50836120401338,12.979338842975206
2020/08/31 16:00:01,28.554575,27.610619469026545,19.914893617021278
2020/08/31 16:00:02,71.492065,72.39682539682539,13.534124629080118
2020/08/31 16:00:00,NA,NA,NA
2020/08/31 16:00:02,NA,-14.187799862919807,22.747252747252745
2020/08/31 16:00:01,16.511839,16.721311475409834,21.348837209302324
2020/08/31 16:00:02,41.88235,42.647058823529406,15.76086956521739
2020/08/31 16:00:02,NA,-8.501026694045175,827.9999999999999
2020/08/31 16:00:02,NA,-0.17345639719923617,-9.083333333333334
2020/08/31 16:00:01,NA,-102.17032967032966,47.679487179487175
2020/08/31 16:00:01,NA,-19.833887043189367,12.183673469387754
2020/08/31 16:00:02,NA,-2.1946839080459775,-5.359649122807018
2020/08/31 16:00:02,NA,NA,NA
2020/08/31 16:00:01,NA,-4.543069523393092,74.21428571428571
2020/08/31 16:00:01,NA,NA,NA
2020/08/31 16:00:02,NA,-3.5061592204449346,4.953246753246753
2020/08/31 16:00:02,NA,-2.8754618561182355,-11.605263157894738
2020/08/31 16:00:02,NA,-19.69004893964111,10.68141592920354
2020/08/31 16:00:02,5.799686,6.114315679077085,5.069565217391305
2020/08/31 16:00:02,NA,-0.6536502546689303,269.5
2020/08/31 16:00:02,45.24359,45.52564102564102,23.361842105263158
2020/08/31 16:00:01,10.98767,11.671539341553324,6.914156626506024
2020/08/31 16:00:01,NA,-7.468553459119497,8.636363636363635
2020/08/31 16:00:02,8.855721,9.378109452736318,7.77319587628866
2020/08/31 16:00:02,NA,-4.133937562940584,48.294117647058826
2020/08/31 16:00:02,NA,-1.4243387772799538,15.161538461538461
2020/08/31 16:00:02,10.01834,9.511691884456672,9.429545454545455
2020/08/31 16:00:01,13.889282,13.981547196593327,19.313725490196077
2020/08/31 16:00:02,17.26332,16.78737713398862,11.886446886446887
2020/08/31 16:00:02,NA,-0.659869725290286,-2.9871794871794872
2020/08/31 16:00:02,NA,-14.339285714285715,12.045
2020/08/31 16:00:02,NA,-2.0386336352722907,14.943999999999999
2020/08/31 16:00:47,NA,-4.653161448741559,-758
2020/08/31 16:00:02,14.87324,14.971830985915496,18.649122807017548
2020/08/31 16:00:02,11.597003,11.585173501577286,12.344537815126051
2020/08/31 16:00:02,NA,-4.086355785837651,16.661971830985916
2020/08/31 16:00:02,26.69799,27.478937135450423,17.096774193548388
2020/08/31 16:00:01,19.840277,19.48148148148148,16
2020/08/31 16:00:02,11.0746355,11.34406937132239,9.639473684210527
2020/08/31 16:00:01,124.693886,126.42857142857143,28.15909090909091
2020/08/31 16:00:01,172.65625,179.296875,8.595505617977528
2020/08/31 16:00:02,21.028805,20.911394543458062,14.895908543922983
